Instancia,Otimo,Tag otimo,Solucao (HC),Tempo (HC),Gap (HC),Solucao (VND),Tempo (VND),Gap (VND),Solucao (GRASP),Tempo (GRASP),Gap (GRASP)
n3m10A.txt,7483,opt,23940,0.0005 segundos,219.93,7483,0.0334 segundos,0.0,7483,1.9986 segundos,0.0
n3m10B.txt,1277,opt,5559,0.0004 segundos,335.32,1277,0.0290 segundos,0.0,1277,1.1370 segundos,0.0
n3m10C.txt,2088,opt,10301,0.0004 segundos,393.34,2150,0.0452 segundos,2.97,2088,1.4924 segundos,0.0
n3m10D.txt,322,opt,5124,0.0004 segundos,1491.3,322,0.0422 segundos,0.0,322,2.0337 segundos,0.0
n3m10E.txt,3343,opt,6920,0.0004 segundos,107.0,3452,0.0287 segundos,3.26,3343,1.0294 segundos,0.0
n3m20A.txt,8280,LB,88820,0.0006 segundos,972.71,38393,0.6174 segundos,363.68,31357,28.3967 segundos,278.71
n3m20B.txt,1820,LB,66010,0.0005 segundos,3526.92,23354,0.2878 segundos,1183.19,16719,23.4327 segundos,818.63
n3m20C.txt,855,LB,33006,0.0005 segundos,3760.35,8293,0.2745 segundos,869.94,6462,18.7469 segundos,655.79
n3m20D.txt,4357,opt,16477,0.0005 segundos,278.17,4785,0.2982 segundos,9.82,4357,13.3037 segundos,0.0
n3m20E.txt,3798,opt,33326,0.0005 segundos,777.46,3827,0.2988 segundos,0.76,3798,26.5780 segundos,0.0
n3m40A.txt,112,LB,300549,0.0012 segundos,268247.32,59723,7.1218 segundos,53224.11,46410,487.2021 segundos,41337.5
n3m40B.txt,880,LB,190776,0.0009 segundos,21579.09,45167,7.1908 segundos,5032.61,29806,438.0394 segundos,3287.05
n3m40C.txt,1962,LB,287714,0.0087 segundos,14564.32,55750,6.9999 segundos,2741.49,46317,353.3101 segundos,2260.7
n3m40D.txt,263,LB,74363,0.0087 segundos,28174.9,16058,5.3321 segundos,6005.7,13795,373.1010 segundos,5145.25
n3m40E.txt,1192,LB,50722,0.0191 segundos,4155.2,19824,3.8509 segundos,1563.09,17992,348.6682 segundos,1409.4
n5m50A.txt,0,LB,363794,0.0187 segundos,-1.0,89595,24.9390 segundos,-1.0,62680,1168.7212 segundos,-1.0
n5m50B.txt,0,LB,289454,0.0213 segundos,-1.0,36014,20.0083 segundos,-1.0,28043,1082.9347 segundos,-1.0
n5m50C.txt,0,LB,90412,0.0202 segundos,-1.0,18797,14.7036 segundos,-1.0,16189,921.7430 segundos,-1.0
n5m50D.txt,0,LB,66633,0.0141 segundos,-1.0,19291,12.6536 segundos,-1.0,15662,889.7134 segundos,-1.0
n5m50E.txt,0,LB,49347,0.0202 segundos,-1.0,10487,8.8233 segundos,-1.0,6398,904.3550 segundos,-1.0
